timestamp,cpu_temp_c,gpu_temp_c,chip_max_temp_c,session_high_temp_c,cpu_sensor,gpu_sensor,chip_max_sensor,fan_id,fan_mode,fan_speed_rpm,fan_target_rpm,fan_min_rpm,fan_max_rpm
2026-06-07T11:54:15.304Z,50.51,44.39,75.69,77.77,CPU Die Average,GPU 22,CPU Die Max,1,Manual,4899,4900,1000,4900
2026-06-07T11:54:18.305Z,46.84,43.77,66.45,77.77,CPU Die Average,GPU 22,CPU Die Max,1,Manual,4904,4900,1000,4900
2026-06-07T11:54:21.241Z,47.35,43.57,63.23,77.77,CPU Die Average,GPU 22,CPU Die Max,1,Manual,4899,4900,1000,4900
2026-06-07T11:54:24.306Z,47.88,43.49,72.05,77.77,CPU Die Average,GPU 22,CPU Die Max,1,Manual,4890,4900,1000,4900
2026-06-07T11:54:27.306Z,48.62,43.33,75.23,77.77,CPU Die Average,GPU 22,CPU Die Max,1,Manual,4901,4900,1000,4900
2026-06-07T11:54:30.309Z,43.62,43.62,47.50,77.77,CPU Die Average,GPU 8,CPU Die Max,1,Manual,4901,4900,1000,4900
2026-06-07T11:54:33.265Z,56.85,45.07,78.25,78.25,CPU Die Average,GPU 8,CPU Die Max,1,Auto,1763,1000,1000,4900
2026-06-07T11:54:36.226Z,48.75,44.09,74.12,78.25,CPU Die Average,GPU 22,CPU Die Max,1,Auto,1003,1000,1000,4900
2026-06-07T11:54:39.282Z,49.18,44.54,66.02,78.25,CPU Die Average,GPU 22,CPU Die Max,1,Auto,1001,1000,1000,4900
2026-06-07T11:54:42.249Z,52.79,46.32,71.72,78.25,CPU Die Average,GPU 22,CPU Die Max,1,Auto,999,1000,1000,4900
2026-06-07T11:54:45.249Z,49.48,46.20,69.20,78.25,CPU Die Average,GPU 22,CPU Die Max,1,Auto,1000,1000,1000,4900
2026-06-07T11:54:48.315Z,49.11,46.15,74.70,78.25,CPU Die Average,GPU 22,CPU Die Max,1,Auto,1000,1000,1000,4900
2026-06-07T11:54:51.317Z,47.00,46.63,52.86,78.25,CPU Die Average,GPU 22,CPU Die Max,1,Auto,1000,1000,1000,4900
2026-06-07T11:54:54.316Z,53.13,47.31,72.98,78.25,CPU Die Average,GPU 22,CPU Die Max,1,Auto,1000,1000,1000,4900
2026-06-07T11:54:57.318Z,47.55,47.55,51.69,78.25,CPU Die Average,GPU 18,CPU Die Max,1,Auto,1000,1000,1000,4900
2026-06-07T11:55:00.256Z,52.78,48.13,78.56,78.56,CPU Die Average,GPU 22,CPU Die Max,1,Auto,999,1000,1000,4900
2026-06-07T11:55:03.256Z,58.63,49.06,77.89,78.56,CPU Die Average,GPU 8,CPU Die Max,1,Auto,1001,1000,1000,4900
2026-06-07T11:55:06.259Z,53.84,48.73,69.44,78.56,CPU Die Average,GPU 22,CPU Die Max,1,Auto,1000,1000,1000,4900
2026-06-07T11:55:09.261Z,51.56,48.29,63.69,78.56,CPU Die Average,GPU 8,CPU Die Max,1,Auto,999,1000,1000,4900
2026-06-07T11:55:12.326Z,51.34,48.31,53.30,78.56,CPU Die Average,GPU 8,CPU Die Max,1,Auto,1000,1000,1000,4900
2026-06-07T11:55:15.261Z,58.91,48.89,77.89,78.56,CPU Die Average,GPU 22,CPU Die Max,1,Auto,1001,1000,1000,4900
2026-06-07T11:55:18.264Z,51.12,50.18,55.17,78.56,CPU Die Average,GPU 8,CPU Die Max,1,Auto,1001,1000,1000,4900
2026-06-07T11:55:21.302Z,54.29,49.85,71.72,78.56,CPU Die Average,GPU 8,CPU Die Max,1,Auto,1001,1000,1000,4900
